Word,Definition,Level
introspection,examining one's own thoughts and feelings,1
philanthropist,one who loves mankind,1
antidote,medicine used against a poison or a disease,1
strive,"to make great efforts, to struggle",1
ambidextrous,able to use the left hand or the right equally well,1
precursors,"a person or thing that precedes, as in a process or job.",1
retrospective,Looking back on past,1
introvert,one who turns towards himself,1
ambiguous,doubtful; uncertain,1
gerontocracy,government ruled by old people,1
aggravate,make worse; irritate,1
braggart,boastful,1
entice,"attract, lure",1
equilibrium,state of being balanced,1
alleviate,make (pain) easier to bear,1
adorn,add beauty; decorate,1
malevolent,malicious; evil; having or showing ill will,1
connote,"Suggest or imply in addition to the precise, literal meaning",1
abhor,to hate; to detest,1
agile,active; quick-moving,1
endeavor,"to make an effort, to try very hard",1
stray,wander lose one's way,1
renovate,restore something to better condition,1
curriculum,course of study,1
amalgamate,mix; combine; unite societies,1
drowsiness,feeling sleepy half asleep,1
disrobe,undress,1
xenophile (zen-uh-fahyl),a person who is attracted to foreign peoples cultures,1
suffocate,cause or have difficulty in breathing,1
sequence,succession connected line of,1
scent,smell (especially pleasant),1
sporadic,happening from time to time,1
affinity,close connection; relationship,1
audacious,Bold,1
heterogeneous,made up of different kinds,1
animosity,strong dislike,1
fragile,easily injured broken or destroyed,1
acumen,"Keen, quick, accurate insight or judgment",1
legacy,Bequest or inheritance,1
massacre,cruel killing of a large number of people,1
submerge,put under water liquid sink out of sight,1
combustion,process of burning,1
adulteration,making unpure; poorer in quality,1
appease,make quiet or calm,1
premature,doing or happening something before the right time,1
inquest,"Legal or judicial inquiry, especially before a jury and especially made by a coroner into the cause of someone.s death",1
shunned,"avoided, kept away from",1
conceal,hide keep secret,1
anguish,severe suffering,1
indigenous,native,1
apt,well-suited; quick-witted,1
correlate,have a mutual relation,1
grumble,to complain,1
offhand,Without preparation or forethought,1
somersault,rolling backward or forward (not sideways) movement,1
extinguish,end the existence of/wipe or put out,1
edible,fit to be eaten/not poisonous,1
conjoin,to join together,1
surcharge,additional load/charge,1
accolade,praise; approval,1
disallow,refuse to allow or accept as a correct,1
opaqueness,dullness/not allowing light to pass through,1
impermeable,that cannot be permeated,1
console,give comfort or sympathy to,1
timid,shy easily frightened,1
abscond,to go away suddenly (to avoid arrest),1
abide,be faithful; to endure,1
embezzle,use in a wrong way for one's own benefit,1
warrant,authority written order guarantee,1
reminiscent,suggest something in the past,1
extinct,no longer active,1
loll,rest to sit or stand in a lazy way hang (dog's tongue),1
acclaimed,welcomed with shouts and approval,1
clientele,customers,1
catalyst,substance that causes speeding up,1
shallow,little depth; not earnest,1
brittle,easily broken,1
negligent,taking too little care,1
affable,polite and friendly,1
poseur,a person who attempts to impress by acting unlike himself,1
dangle,hand or swing loosely,1
moribund,in a dying state; near death,1
ascend,go or come up,1
relapse,fall back again,1
asterisk,the mark * (e.g.. omitted letters),1
yarn,tale story fibers for knitting,1
arrogance,proud; superior manner of behaviour,1
salvage,the saving of property from loss,1
livid,"Furiously angry, enraged",1
divergence,getting farther apart from a point,1
rejuvenation,becoming young in nature or appearance,1
allegiance,duty support loyalty,1
vigorous,strong energetic,1
dullard,"a stupid, insensitive person",1
dwarf,person much smaller the usual size,1
fragrant,sweet-smelling,1
judicious,sound in judgment; wise,1
nihilism,total rejection of all religious and moral beliefs,1
odor,smell,1
scribble,write hastily,1
hospitable,liking to give hospitality,1
narcissism,Self-love,1
sawdust,tiny bits of wood,1
ameliorate,improve; make better,1
ingest,take in by swallowing,1
gait,"a manner of walking, stepping, or running",1
sluggard,lazy slow-moving person,1
succumb,"yield, die",1
reiterate,say or do again several times,1
flop,fail/move/fall clumsily,1
defer,postpone,1
ossified,turned to bone; hardened like bone; Inflexible,1
eloquence,fluent speaking skillful use of language,1
derivative,unoriginal; obtained from another source,1
commuter,person who travels regularly,1
clot,half-solid lump formed from liquid,1
weigh,measure hoe heavy something is,1
steeply,rising or falling sharply,1
torque,twisting force causing rotation,1
benefactor,person who has given help,1
complaisant,trying to please; obliging,1
plea,request,1
moderation,quality of being limited; not extreme,1
enduring,lasting,1
invincible,too strong to be defeated,1
sanity,health of mind soundness of judgment,1
turmoil,trouble disturbance,1
flimsy,"lacking solidarity, strength",1
tadpole,form of a frog when it leaves the egg,1
reconcile,settle a quarrel restore peace,1
cryptic,secret with a hidden meaning,1
sponge,porous rubber for washing live at once expense,1
commemorate,keep the memory of,1
sadistic,Cruel,1
dote,show much fondness center one's attention,1
encapsulate,enclose in capsule,1
fission,splitting or division (esp. of cells),1
volatile,changeable inconstant fickle unstable explosive,1
alloy,to debase by mixing with something inferior,1
dormant,in a state of inactivity but awaiting development,1
gallant,"brave,behaves well with women",1
grievous,causing grief or pain; serious dire grave,1
enzyme,catalyst,1
shard,A piece of broken pottery,1
hypocrisy,falsely making oneself appear to be good,1
eradicate,get rid of pull up by the roots,1
chisel,steel tool for shaping materials,1
infuriate,fill with fury or rage,1
engulf,swallow up,1
euphoria,elation state of pleasant excitement,1
sanction,approval (by authority) penalty,1
renowned,celebrated; famous,1
riddle,puzzling person or thing,1
evoke,call up bring out,1
mischievous,harmful; causing mischief,1
implicit,implied though; not plainly expressed,1
disproof,proof to the contrary,1
misogynist,one who hates women/females,1
abysmal,extreme bad,1
writ,written order,1
pertain,belong as a part have reference,1
erratic,irregular in behaviour or opinion,1
meticulous,giving great attention to details,1
impromptu,without preparation,1
inclined,directing the mind in a certain direction,1
constrict,make tight or smaller,1
perish,be destroyed decay,1
Lambaste,attack verbally,1
luminary,star; light-giving body,1
dupe,cheat make a fool of,1
auxiliary,helping; supporting,1
extralegal,outside the law,1
ambivalent,having both of two contrary meanings,1
tonic,something giving strength or energy,1
endorse,write one's name on the back of,1
turbulence,being uncontrollably violent,1
connoisseur,a person with good judgement (e.g.. in art),1
indistinct,not easily heard; seen clearly marked,1
abstruse,difficult to comprehend; obscure,1
limp,lacking strength; walking unevenly,1
parenthesis,sentence within another one something separated,1
sophisticated,complex; subtle; refined,1
aberration,straying away from what is normal,1
recuperate,become strong after illness loss exhaustion,1
perjury,willful FALSE statement unlawful act,1
mite,"A very small amount, portion, or particle",1
pest,destructive thing or a person who is nuisance,1
pluck,pull the feathers off pick (e.g.. flowers),1
satiate,satisfy fully,1
colloquial,involving or using conversation.,1
yeoman,man owning small estate; middle-class farmer,1
ail,"to cause pain, uneasiness, or trouble to.",1
fidelity,loyalty accuracy,1
mesmerize,hypnotize,1
paradigm,a model example or pattern,1
gullible,easily gulled,1
sobriety,quality or condition of being sober,1
dislodge,move force from the place occupied,1
fleet,number of ships; quick-moving,1
articulate,speak distinctly; connect by joints,1
tractable,easily controlled or guided,1
partisan,one-sided committed to a party biased or prejudiced,1
predominate,have more power than others,1
foolproof,incapable of failure or error,1
suffice,be enough,1
permeate,spread into every part of,1
spear,weapon with a metal point on a long shaft,1
solvent,of the power of forming a solution,1
presentiment,anticipatory fear; premonition,1
vivacious,lively high-spirited,1
coagulation,change to a thick and solid state,1
liberality,free giving; generosity,1
elaborate,worked out with much care in great detail,1
brass,yellow metal (mixing copper and zinc),1
malleable,yielding easily shaped; moldable; adapting,1
patron,regular customer person who gives support,1
immutable,that cannot be changed,1
forgery,counterfeit,1
woo,try to win,1
cordial,warm and sincere,1
cumbersome,burdensome; heavy and awkward to carry,1
beguile,mislead or delude; cheat; pass time,1
retrograde,receding,1
sheath,cover for the blade of a weapon or a tool,1
bewilder,puzzle; confuse,1
knit,draw together; unite firmly,1
unscathed,unharmed unhurt,1
chortle,loud chuckle of pleasure or amusement,1
jabber,talk excitedly; utter rapidly,1
pivotal,of great importance (others depend on it),1
implosion,collapse; bursting inward,1
repel,refuse to accept/cause dislike,1
superimpose,put something on the top,1
centurion,leader of a unit of 100 soldiers,1
enigma,something that is puzzling,1
calipers,metal supports attached to the legs measuring instrument,1
redeem,get back by payment compensate,1
buoyant,able to float; light-hearted,1
impede,hinder; get in the way of,1
stride,walk with long steps,1
boisterous,noisy; restraint,1
resuscitation,coming back to consciousness,1
concur,agree in opinion happen together,1
recitals,a number of performance of music,1
treacherous,"not to be trusted, perfidious",1
indulgent,inclined to indulge,1
pilferer,"to steal, especially in small quantities",1
foster,nurture; care for,1
apartheid,brutal racial discrimination,1
garrulous,too talkative,1
edify,instruct; correct morally,1
evasive,tending to evade,1
misanthrope,person who hates mankind,1
eulogy,formal praise panegyric,1
arcane,known or understood by very few,1
bogus,sham; counterfeit; not genuine,1
dexterity,skill (esp. in handling),1
lampoon,publicly mock or ridicule,1
skit,short piece of humorous writing,1
incongruous,out of place; not in harmony or agreement,1
repulsive,causing a feeling of disgust,1
refine,make or become pure cultural,1
multifarious,varied; motley; greatly diversified,2
substantiation,giving facts to support (statement),2
feud,bitter quarrel over a long period of time,2
indefatigability,not easily exhaustible; tirelessness,2
convoluted,complicated;coiled; twisted,2
euthanasia,easy and painless death,2
underbid,make a lower bid then somebody else,2
cognizant,being fully aware of,2
concoct,"invent, prepare by mixing together",2
turquoise,greenish-blue precious stone,2
decree,order given by authority,2
irate,angry,2
frantic,wildly excited with joy; pain; anxiety,2
alcove,recess/partially enclosed place,2
reverent,feeling or showing deep respect,2
derogatory,insulting; tending to damage,2
fawn,To seek favor or attention by flattery and obsequious,2
miser,person who loves wealth and spends little,2
valiant,brave,2
pervade,spread through every part of,2
tarnished,lost brightness,2
irrevocable,final and unalterable,2
imminent,likely to come or happen soon,2
soggy,heavy with water,2
savor,taste flavor something,2
wanton,unrestrained; willfully malicious; unchaste,2
unearth,discover and bring to light,2
hoax,mischievous trick played to deceive,2
voluptuous,arousing sensual pleasures,2
earthenware,dishes made of baked clay,2
suppress,prevent from being known put an end to,2
vindictive,having a desire to revenge,2
defiance,open disobedience or resistance,2
pinch,be too tight take between the thumb and finger,2
coalescing,coming together and uniting into one substance,2
gust,outburst of feeling; sudden rain wind fire etc.,2
candid,frank; straight-forward,2
warmonger,person who stirs up war,2
wince,show bodily or mental pain,2
loquacious,talkative; garrulous,2
gush,burst out suddenly/talk ardently,2
swerve,change direction suddenly,2
peccadillo,small sin small weakness in one's character,2
precursory,preliminary; anticipating,2
plunge,move quickly suddenly and with force,2
counterfeit,forgery,2
revere,have deep respect for,2
torment,severe pain or suffering,2
exculpate,to clear from a charge of guilt,2
abraded,rubbed off; worn away by friction,2
squander,spend wastefully,2
quandary,state of doubt or perplexity,2
dawdler,person who is slow waste of time,2
noxious,harmful,2
compunction,feeling of regret for one's action,2
deplete,use until none remains,2
coerce,compel to force to make obedient,2
recompense,make payment to reward punish,2
proliferate,grow reproduce by rapid multification,2
polemic,a controversial argument / a person engaged in such an argument,2
personable,pleasing in appearance attractive,2
punitive,Punishing,2
reciprocity,granting of privileges in return for similar,2
antithetical,direct opposing,2
holster,leather case for a pistol,2
stifled,"suppressed, kept back",2
aseptic,surgically clean,2
propagation,increasing the number; spreading; extending,2
hapless,unlucky,2
implacable,incapable of being placated; unpleasable,2
ineptitude,quality of being unskillful,2
distraught,distracted violently upset in mind,2
vigilance,watchfulness self-appointed group who maintain order,2
condense,increase in density strength make laconic,2
forestall,prevent by taking action in advance; preempt,2
stipulate,state or put forward as a necessary condition,2
diabolical,having the qualities of a devil,2
provoke,make angry vax,2
lustrous,being bright; polished,2
lament,show feeling of great sorrow,2
plummet,fall plunge steeply,2
subpoena,written order requiring a person to appear in a low court,2
accrue,accumulate,2
extol,to praise highly,2
vitriolic,corrosive; sarcastic,2
idolatry,excessive admiration of,2
soot,black powder in smoke,2
valorous,brave,2
illicit,unlawful; forbidden,2
apropos,by the way,2
haughty,arrogant; conceited,2
aversion,strong dislike,2
floe,a sheet of floating ice,2
complaisance,tending to comply obliging willingness to please,2
supersede,take the place of,2
apprehensive,grasping understanding fear unhappy feeling about future,2
latent,present but not yet active; developed or visible,2
viscous,sticky/semi-fluid,2
topple,be unsteady and overturn,2
deviance,being different in moral standards (from normal),2
concord,agreement or harmony,2
pristine,primitive unspoiled pure as in earlier times unadulterated,2
enunciate,pronounce (words)/express a theory,2
inept,unskillful; said or done at the wrong time,2
variegate,To mark with different shade or colors,2
malevolence,wishing to do evil,2
entangle,put into difficulties,2
impediment,something that hinders (e.g. stammer),2
undermine,weaken gradually at the base make something under,2
slack,sluggish; dull; not tight,2
calisthenics,exercises to develop strong bodies,2
regicide,crime of killing a king,2
palate,roof of the mouth; sense of taste,2
arduous,steep difficult ascent; laborious,2
prevalent,common,2
recluse,person who lives alone and avoids people,2
pungency,sharpness stinging quality,2
placate,soothe pacify calm,2
tamper,interfere with,2
iconoclast,person who attacks popular beliefs,2
hush,make or become silent,2
frugal,careful; economical,2
felon,person guilty of murder,2
shun,keep away from avoid,2
finesse,delicate way of dealing with a situation,2
whimsical,full of odd and fanciful ideas,2
bigot,stubborn; narrow-minded person,2
aloof,reserved; indifferent,2
indomitable,not easily discouraged or subdued,2
imperative,urgent; essential,2
smolder,burn slowly without flame,2
muffler,cloth worn round the neck; silencer,2
perilous,dangerous,2
apprise,give notice to inform,2
dismal,sad; gloomy; miserable,2
trickle,flow in drops,2
enthral,"take the whole attention, enslave",2
disencumber,free from encumbrance,2
impending,imminent; about to happen; expected,2
lavish,giving or producing freely liberally or generously,2
stickler,person who insists on importance of something,2
avow,admit; declare openly,2
stigma,mark of shame or disgrace,2
mendacious,lying; habitually dishonest,2
indulge,gratify; give way to satisfy allow oneself,2
castigation,severe punishment,2
deter,discourage hinder,2
vehemence,forcefulness,2
benevolence,wish or activity in doing good,2
gist,the point general sense,2
incredulous,skeptical; unwilling to believe,2
squat,crouch/settle without permission,2
exuberance,state of growing vigorously being full of life,2
soar,rise fly high,2
tenacity,firmness persistency adhesiveness tending to hang on,2
incessant,Constant,2
procrastination,keeping on putting off,2
conciliatory,reconciling; soothing; comforting; mollifying,2
subdue,overcome bring under control,2
transient,temporary fleeting,2
tassel,bunch of threads,2
apostate,one who abandons long-held religious or political convictions,2
engrave,impress deeply,2
berate,scold sharply,2
connotation,suggestion in addition to,2
flaunting,show off complacently,2
empirical,relying on experiment,2
impair,worsen; diminish in value,2
immaculate,pure; faultless,2
pillage,plunder (especially in war),2
extrovert,cheerful person,2
prone,prostrate; inclined to (undesirable things),2
astute,clever quick at seeing to get an advantage,2
coy,shy/modest (especially of a girl),2
truce,(agreement) stop of fighting for a time,2
precepts,rules establishing standards of conduct,2
exorbitant,much too high or great,2
mollify,make calmer or quieter,2
incorrigibility,cannot be cured or corrected,2
taciturn,"unspoken, silent",2
sober,self-controlled,2
approbation,approval,2
conviction,convincing firm belief,2
castigate,to chastise; correct by punishing,2
bolster,give greatly needed support,2
efface,"rub or wipe out, obliterate",2
vex,annoy distress trouble,2
fallacious,based on error,2
flamboyant,brightly colored; florid,2
nonchalant,not having interest,2
gorge,eat greedily/narrow opening with a stream,2
poncho,large piece of cloth,2
grandiloquent,using pompous words,2
pitfall,covered hole as a trap unsuspected danger,2
coddle,treat with care and tenderness,2
impassive,unmoved; feeling no sign of passion,2
lull,become quiet or less active,2
curtail,make shorter then was planned,2
perch,take up a high position,2
inscrutable,incapable of being discovered or understood,2
shrill,sharp; piercing,2
prudence,careful forethought,2
cohort,a group or band of people,2
boorish,crude; rude,2
timorous,fearful timid afraid,2
imperturbable,calm not capable of being excited,2
arboreal,of connected with trees,2
rescind,repeal/annul/cancel,2
intersperse,place here and there,2
oblivious,unaware; having no memory,2
ignoble,not noble; inferior,2
espouse,To take in marriage,2
sagacious,having sound judgment; perceptive; wise like a sage,2
nebulous,cloud-like; hazy; vague; indistinct,2
disseminate,distribute (esp. ideas),2
bask,in enjoy warmth and light,2
heed,attention/give notice to,2
precarious,uncertain risky dangerous,2
incise,engrave; make a cut in,2
endearing,making dear or liked,2
ebullient,overflowing with enthusiasm showing excitement,2
inferno,hell,2
palpitate,tremble beat rapidly and irregularly,2
fluke,lucky; stroke,2
fluster,make nervous or confused,2
graze,touch or scrape lightly in passing,2
laudatory,expressing or giving praise,2
matriculation,be admitted enter a university as a student,2
susceptibility,sensitiveness,2
embellish,make beautiful,2
ominous,threatening,2
ostracism,shut out from society refuse to meet talk,2
divulge,make known something secret,2
pliant,easily bent,2
maverick,rebel; nonconformist,2
malapropism,misuse of a word (for one that resembles it),2
quell,suppress subdue,2
extort,obtain by threats violence,2
cling,to resist separation,2
sidestep,step to one side,2
dubious,feeling doubt,2
irascible,irritable; easily angered,2
fidget,move restlessly make nervous,2
epitome,brief summary representative example a typical model,2
corroboration,additional strengthening evidence,2
garner,to gather and save to store up,2
ambrosial,extremely pleasing to taste,2
ferocity,savage cruelty,2
expurgate,to remove obscenity purify censor,2
cantankerous,bad-tempered/quarrelsome,2
arabesque,a complex ornate design,2
attune,bring into harmony,2
chaste,pure,2
efficacy,production of a desired result,2
rift,split crack dissension,2
palpability,can be felt or touched,2
veer,change direction,2
insensible,unconscious; unresponsive; unaffected,2
gourmand,a person who is devoted to eating and drinking to excess,2
plead,address a court of law as an advocate,2
morbid,diseased; unhealthy (e.g.. about ideas),2
enmity,hatred being an enemy,2
impervious,not allowing to pass through (of materials),3
feral,Existing in a wild or untamed state,3
convoke,call together summon,3
breach,opening; broken place; breaking,3
credulous,ready to believe things,3
Conduce,To bring about,3
superfluous,more then is needed or wanted,3
daunt,intimidate make fearful,3
trudge,walk heavily,3
mephitic,Poisonous; noxious,3
equipoise,equal distribution of weight equilibrium,3
chastisement,punishment,3
thrift,care economy thriving prosperous,3
rarefy,to make thin to make less dense to purify or refine,3
neophyte,person who has been converted to a belief,3
benign,kind and gentle,3
dissent,have a different opinion refuse to assent,3
lackluster,(of eyes) dull,3
veneration,regard with deep respect,3
fret,worry; irritation; wear away,3
pious,dutiful to parents; devoted to religion,3
impiety,lack of reverence or dutifulness,3
rave,act with excessive enthusiasm,3
heresy,belief contrary to what is generally accepted,3
frenetic,frantic; frenzied,3
disheveled,untidy,3
scalding,hot enough to boil,3
guile,deceit; cunning,3
irresolute,hesitating; undecided,3
telltale,That gives warning or information,3
temperate,showing self-control,3
chicanery,legal trickery/false argument,3
grave,serious requiring; consideration,3
blasï¿½,bored with pleasure or dissipation,3
exoneration,set someone clear (e.g.. from blame),3
hoodwink,trick; mislead,3
tawdry,cheap gaudy showy tacky,3
debacle,a breakup overthrow sudden disaster,3
striated,striped grooved or banded,3
feckless,lacking purpose or vitality ineffective careless,3
reticence,uncommunicativeness,3
resilience,quality of quickly recovering the original shape,3
contentious,argumentative pugnacious combative quarrelsome,3
ardor,enthusiasm,3
disdain,look on with contempt,3
cajole,use flattery or deceit to persuade,3
glimmer,weak/unsteady light,3
jocular,meant as a joke,3
taunt,contemptuous reproach hurtful remark,3
conundrum,a riddle dilemma enigma,3
incite,stir up; rouse,3
terse,brief and to the point,3
abeyance,suspended action,3
drawl,slow way of speaking,3
myriad,very great number,3
apotheosis,deification glorification to godliness,3
guileless,honest; straightforward,3
alacrity,eager and cheerful; readiness,3
clinch,come to grips/settle conclusively,3
clamor,shout complain with a lot of noise,3
falter,waver/move in an uncertain manner,3
nexus,a connection or link,3
inimitable,defying; imitation; unmatchable,3
ale,fermented alcoholic beverage similar to but heavier than beer,3
ulterior,situated beyond,3
jagged,notched,3
sash,long strip worn round the waist,3
recant,take back as being FALSE give up,3
decorum,propriety properness,3
abet,help/encourage somebody (in doing wrong),3
sever,break off,3
render,deliver provide represent,3
discreet,careful/prudent,3
itinerate,to travel from place to place to peregrinate,3
innocuous,causing no harm,3
ruffian,violent cruel man,3
abrogate,repeal or annul by authority,3
tepid,lukewarm,3
talon,claw of a bird of prey,3
quiescence,state of being passive/motionless,3
exhaustive,complete; thorough,3
flinch,draw; move back; wince,3
sodden,soaked; saturated,3
crush,press lose shape subdue overwhelm,3
insurrection,rising of people to open resistance to,3
ossify,to turn to bone to settle rigidly into an idea,3
doleful,dismal; mourful,3
quack,person dishonestly claiming to something,3
commodious,having plenty of space for what is needed,3
intrepid,fearless; brave; undaunted,3
emaciate,make thin and weak,3
pariah,an outcast a rejected and despised person,3
unfeigned,not pretended sincere,3
fixate,stare at,3
prim,neat; formal,3
thwart,obstruct/frustrate,3
preternatural,not normal or usual,3
vilify,slander say evil things,3
transgress,break go beyond (a limit),3
hegemony,predominance,3
insinuate,suggest unpleasantly; make a way for something gently,3
recast,cast or fashion anew,3
intransigence,unwillingness to compromise stubbornness intractability,3
servile,like a slave lacking independence,3
infuse,put; pour; fill,3
engrossing,taken up all the time or attention writing in large or formal,3
heinous,odious (of crime),3
covert,disguised,3
fracas,noisy; quarrel,3
sketchy,"shortly, roughly, quickly",3
putrefaction,becoming rotten,3
ubiquitous,present everywhere,3
assuage,make something (pain desire) less,3
sycophant,person who flatter to the rich and powerful,3
ebullience,exuberance outburst of feeling,3
colander,bowl-shaped vessel with many holes used to drain off water,3
festoon,a decorative chain or strip hanging between two points,3
cower,crouch shrink back,3
proclivity,inclination,3
assail,attack violently,3
maul,hurt by rough handling,3
